report_date,supervisor,activity_code,wbs_code,wbs_name,qty_executed,unit,manpower_cost,equipment_cost,manpower_lines,equipment_lines,remarks
2026-01-24,ismaila,1,1.0,Preliminaries,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,sohail,1,1.0,Preliminaries,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,akmishra,1.1,1.1,Site Establishment,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,ismaila,1.1,1.1,Site Establishment,0.010,cu.m.,0,3000.00,0,1,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,kbarman,1.1,1.1,Site Establishment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,parvaiz,1.1,1.1,Site Establishment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,saiffuddin,1.1,1.1,Site Establishment,8.000,m,1500.00,10000.00,1,1,
2026-01-24,vijaykumar,1.1,1.1,Site Establishment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,kbarman,13.1.7(ix)a,13.0,Drainage,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,kbarman,13.1.7(ix)b,13.0,Drainage,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,manzar,13.1.7(ix)b,13.0,Drainage,72.000,lin.m.,5600.00,0,1,0,
2026-01-24,sohail,13.1.7(ix)b,13.0,Drainage,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,manzar,13.1.7(ix)b1,13.0,Drainage,36.000,sq.m.,6100.00,0,2,0,
2026-01-24,manzar,13.1.7(ix)b2,13.0,Drainage,17.000,cu.m.,4800.00,0,1,0,
2026-01-24,kbarman,18.3.6(i),18.3,Bituminous Layers,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,parvaiz,18.3.6(i),18.3,Bituminous Layers,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,ismaila,2.3.6(i),2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,kbarman,2.3.6(i),2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,akmishra,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,illayaraja,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,ismaila,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,705.000,cu.m.,0,8000.00,0,2,
2026-01-24,kbarman,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,parvaiz,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,saiffuddin,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,m,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,vijaykumar,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,vpgupta,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,illayaraja,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,ismaila,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,1100.000,cu.m.,500.00,16000.00,1,2,
2026-01-24,kbarman,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,saiffuddin,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,800.000,cu.m.,3000.00,25000.00,2,3,
2026-01-24,vijaykumar,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,akmishra,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,illayaraja,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,250.000,Sqm,2000.00,11000.00,1,2,
2026-01-24,kbarman,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,parvaiz,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,vijaykumar,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-01-24,illayaraja,2.4.6(i),2.4,Pile Cap,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
